"Time"	"Standard force"	"Standard travel"
"s"	"N"	"mm"
40,6705	0,388731	0,107585
40,7705	0,397043	0,107862
40,8705	0,388956	0,108138
40,9705	0,390974	0,108414
41,0705	0,406603	0,108687
41,1705	0,40421	0,108963
41,2705	0,387034	0,109253
41,3705	0,387522	0,109523
41,4705	0,409599	0,109795
41,5705	0,388357	0,110094
41,6705	0,399518	0,110369
41,7705	0,386251	0,11062
41,8705	0,378562	0,110916
41,9705	0,410316	0,111193
42,0705	0,393672	0,111468
42,1705	0,377078	0,11175
42,2705	0,406427	0,112032
42,3705	0,405653	0,112304
42,4705	0,425169	0,112572
42,5705	0,414535	0,112855
42,6705	0,38535	0,113141
42,7705	0,398315	0,113408
42,8705	0,382382	0,113696
42,9705	0,364237	0,113979
43,0705	0,393416	0,11424
43,1705	0,421117	0,114531
43,2705	0,392265	0,114809
43,3705	0,39869	0,115083
43,4705	0,406019	0,115369
43,5705	0,375864	0,115644
43,6705	0,389612	0,115899
43,7705	0,385192	0,116192
43,8705	0,383855	0,116473
43,9705	0,392858	0,116752
44,0705	0,379905	0,117026
44,1705	0,423389	0,117291
44,2705	0,38982	0,117579
44,3705	0,402503	0,11787
44,4705	0,390876	0,118129
44,5705	0,397683	0,118414
44,6705	0,395035	0,118694
44,7705	0,394268	0,118971
44,8705	0,398556	0,119255
44,9705	0,399629	0,119517
45,0705	0,352487	0,119794
45,1705	0,370359	0,120083
45,2705	0,383184	0,120359
45,3705	0,355797	0,12064
45,4705	0,379173	0,120917
45,5705	0,403058	0,121184
45,6705	0,390753	0,121462
45,7705	0,384265	0,121741
45,8705	0,375283	0,122025
45,9705	0,383971	0,122301
46,0705	0,383488	0,122593
46,1705	0,394118	0,122854
46,2705	0,386468	0,123126
46,3705	0,385993	0,123412
46,4705	0,378446	0,123689
46,5705	0,38593	0,123959
46,6705	0,382849	0,124252
46,7705	0,380953	0,124526
46,8705	0,409228	0,124805
46,9705	0,403031	0,125086
47,0705	0,384032	0,125349
47,1705	0,396666	0,125625
47,2705	0,375507	0,125923
47,3705	0,38805	0,126204
47,4705	0,379992	0,126468
47,5705	0,373526	0,12674
47,6705	0,393019	0,127028
47,7705	0,391081	0,127291
47,8705	0,359132	0,127565
47,9705	0,391332	0,127863
48,0705	0,39693	0,12814
48,1705	0,414882	0,12841
48,2705	0,381126	0,128675
48,3705	0,386431	0,128969
48,4705	0,385748	0,129251
48,5705	0,355558	0,129519
48,6705	0,404873	0,129792
48,7705	0,384482	0,130094
48,8705	0,367654	0,130362
48,9705	0,402195	0,130634
49,0705	0,417216	0,13091
49,1705	0,3841	0,13119
49,2705	0,381897	0,131467
49,3705	0,363408	0,131741
49,4705	0,3961	0,132027
49,5705	0,386898	0,132301
49,6705	0,387637	0,132586
49,7705	0,408054	0,132853
49,8705	0,387354	0,133129
49,9705	0,407278	0,133429
50,0705	0,394872	0,133695
50,1705	0,399589	0,133958
50,2705	0,408958	0,134253
50,3705	0,397277	0,134524
50,4705	0,394759	0,134789
50,5705	0,404486	0,135078
50,6705	0,393189	0,135363
50,7705	0,4264	0,135632
50,8705	0,386231	0,13591
50,9705	0,390383	0,136206
51,0705	0,370622	0,136465
51,1705	0,409451	0,136746
51,2705	0,402745	0,137025
51,3705	0,393295	0,137306
51,4705	0,407661	0,137573
51,5705	0,412828	0,13786
51,6705	0,425467	0,138144
51,7705	0,41963	0,138406
51,8705	0,400804	0,138687
51,9705	0,400026	0,138962
52,0705	0,383139	0,139238
52,1705	0,385698	0,139527
52,2705	0,396611	0,139805
52,3705	0,433129	0,140078
52,4705	0,416232	0,14037
52,5705	0,394195	0,140635
52,6705	0,409927	0,140906
52,7705	0,399537	0,141185
52,8705	0,398481	0,141471
52,9705	0,392024	0,141742
53,0705	0,419202	0,142022
53,1705	0,402531	0,142305
53,2705	0,405246	0,14258
53,3705	0,424451	0,142853
53,4705	0,426939	0,143139
53,5705	0,425186	0,143416
53,6705	0,394337	0,143696
53,7705	0,430515	0,143958
53,8705	0,402765	0,144247
53,9705	0,441066	0,144515
54,0705	0,415325	0,14481
54,1705	0,420932	0,145088
54,2705	0,39472	0,14536
54,3705	0,385663	0,145648
54,4705	0,4045	0,145909
54,5705	0,39494	0,14619
54,6705	0,413262	0,14647
54,7705	0,440064	0,146749
54,8705	0,426639	0,147019
54,9705	0,413896	0,147307
55,0705	0,422391	0,147591
55,1705	0,410448	0,14786
55,2705	0,43072	0,148134
55,3705	0,401487	0,148412
55,4705	0,412496	0,148686
55,5705	0,432426	0,148976
55,6705	0,406665	0,14925
55,7705	0,433565	0,149522
55,8705	0,401542	0,149804
55,9705	0,398972	0,150083
56,0705	0,408135	0,150361
56,1705	0,405079	0,150639
56,2705	0,429072	0,150907
56,3705	0,407482	0,15119
56,4705	0,418666	0,151472
56,5705	0,404017	0,15175
56,6705	0,410482	0,152027
56,7705	0,414819	0,1523
56,8705	0,401129	0,152578
56,9705	0,429222	0,152862
57,0705	0,435024	0,153135
57,1705	0,423416	0,153408
57,2705	0,416001	0,153692
57,3705	0,394475	0,153969
57,4705	0,410253	0,154247
57,5705	0,412247	0,154526
57,6705	0,408343	0,154805
57,7705	0,392261	0,155086
57,8705	0,402635	0,155356
57,9705	0,390449	0,155639
58,0705	0,404002	0,155913
58,1705	0,404152	0,156185
58,2705	0,390769	0,15646
58,3705	0,420951	0,156748
58,4705	0,433128	0,157027
58,5705	0,415677	0,157301
58,6705	0,401736	0,15758
58,7705	0,41044	0,157856
58,8705	0,402051	0,158139
58,9705	0,403066	0,158414
59,0705	0,391458	0,158687
59,1705	0,417509	0,158964
59,2705	0,41358	0,159249
59,3705	0,385357	0,159514
59,4705	0,423083	0,159802
59,5705	0,388286	0,160084
59,6705	0,406146	0,160358
59,7705	0,409206	0,160643
59,8705	0,388065	0,160908
59,9705	0,360092	0,161188
60,0705	0,412119	0,161493
60,1705	0,402781	0,161752
60,2705	0,431792	0,162022
60,3705	0,372709	0,162303
60,4705	0,405363	0,162564
60,5705	0,391654	0,162864
60,6705	0,38893	0,163142
60,7705	0,41317	0,163407
60,8705	0,394728	0,163691
60,9705	0,386382	0,163972
61,0705	0,416658	0,16425
61,1705	0,425505	0,16452
61,2705	0,408848	0,1648
61,3705	0,42546	0,165078
61,4705	0,40764	0,165364
61,5705	0,400814	0,16563
61,6705	0,395588	0,16592
61,7705	0,398857	0,166183
61,8705	0,413654	0,166465
61,9705	0,408632	0,166748
62,0705	0,461775	0,167037
62,1705	0,424847	0,167301
62,2705	0,367157	0,167592
62,3705	0,375167	0,167858
62,4705	0,40304	0,168128
62,5705	0,430921	0,168412
62,6705	0,406827	0,168696
62,7705	0,389179	0,168965
62,8705	0,404601	0,169239
62,9705	0,410943	0,169523
63,0705	0,426815	0,169801
63,1705	0,407163	0,170083
63,2705	0,415971	0,170361
63,3705	0,407331	0,17063
63,4705	0,4104	0,170911
63,5705	0,397379	0,171189
63,6705	0,401927	0,171459
63,7705	0,409842	0,171739
63,8705	0,408837	0,172026
63,9705	0,413022	0,1723
64,0705	0,389974	0,172579
64,1705	0,410932	0,172854
64,2705	0,415762	0,17314
64,3705	0,413324	0,173419
64,4705	0,412518	0,17369
64,5705	0,415534	0,17396
64,6705	0,407763	0,174249
64,7705	0,425435	0,174528
64,8705	0,387031	0,174802
64,9705	0,409265	0,175078
65,0705	0,407807	0,175348
65,1705	0,383367	0,175633
65,2705	0,412814	0,175918
65,3705	0,411971	0,1762
65,4705	0,408766	0,176468
65,5705	0,427107	0,176747
65,6705	0,398203	0,17702
65,7705	0,423628	0,177298
65,8705	0,408216	0,177574
65,9705	0,385169	0,177864
66,0705	0,415504	0,178123
66,1705	0,40868	0,178409
66,2705	0,415045	0,178685
66,3705	0,41528	0,178965
66,4705	0,399449	0,179251
66,5705	0,412431	0,179532
66,6705	0,388052	0,179804
66,7705	0,436842	0,180077
66,8705	0,433062	0,180343
66,9705	0,412501	0,180631
67,0705	0,428228	0,180922
67,1705	0,422181	0,18119
67,2705	0,415717	0,181464
67,3705	0,42899	0,181743
67,4705	0,418599	0,182024
67,5705	0,400681	0,182298
67,6705	0,418931	0,182573
67,7705	0,411517	0,182851
67,8705	0,399007	0,183141
67,9705	0,404504	0,183425
68,0705	0,410401	0,183689
68,1705	0,406584	0,183969
68,2705	0,392387	0,184251
68,3705	0,424533	0,184523
68,4705	0,388499	0,184797
68,5705	0,404278	0,185074
68,6705	0,414018	0,185357
68,7705	0,401676	0,185647
68,8705	0,403095	0,185925
68,9705	0,411806	0,186185
69,0705	0,401405	0,18646
69,1705	0,420147	0,186749
69,2705	0,429823	0,187028
69,3705	0,387781	0,187299
69,4705	0,394434	0,187571
69,5705	0,401884	0,187854
69,6705	0,411009	0,188146
69,7705	0,424707	0,188407
69,8705	0,416213	0,188698
69,9705	0,423701	0,188968
70,0705	0,430514	0,189252
70,1705	0,394168	0,189527
70,2705	0,424498	0,189804
70,3705	0,393833	0,190082
70,4705	0,369175	0,190355
70,5705	0,42116	0,19063
70,6705	0,423885	0,190914
70,7705	0,437601	0,191192
70,8705	0,426054	0,191463
70,9705	0,416655	0,191751
71,0705	0,39188	0,192029
71,1705	0,410408	0,192298
71,2705	0,423706	0,192576
71,3705	0,415813	0,192858
71,4705	0,417495	0,193139
71,5705	0,412628	0,193408
71,6705	0,42206	0,193681
71,7705	0,411249	0,193979
71,8705	0,414887	0,194255
71,9705	0,41216	0,194523
72,0705	0,414815	0,19479
72,1705	0,397576	0,195092
72,2705	0,422349	0,195365
72,3705	0,394054	0,195626
72,4705	0,408222	0,195912
72,5705	0,432225	0,196189
72,6705	0,442495	0,196476
72,7705	0,4142	0,196746
72,8705	0,412994	0,197018
72,9705	0,426652	0,197309
73,0705	0,419549	0,197578
73,1705	0,40439	0,197858
73,2705	0,423116	0,198147
73,3705	0,40013	0,198415
73,4705	0,428898	0,198699
73,5705	0,403885	0,198976
73,6705	0,435175	0,199236
73,7705	0,428358	0,199517
73,8705	0,422918	0,19981
73,9705	0,409252	0,200082
74,0705	0,446605	0,200361
74,1705	0,443798	0,200645
74,2705	0,418576	0,200915
74,3705	0,431254	0,201191
74,4705	0,415948	0,201474
74,5705	0,443974	0,201743
74,6705	0,410653	0,202017
74,7705	0,414803	0,202299
74,8705	0,437536	0,202581
74,9705	0,38841	0,202857
75,0705	0,426253	0,203143
75,1705	0,416127	0,203418
75,2705	0,428443	0,203684
75,3705	0,432023	0,203966
75,4705	0,413449	0,204251
75,5705	0,437088	0,204524
75,6705	0,434132	0,2048
75,7705	0,4497	0,205081
75,8705	0,434007	0,205364
75,9705	0,40529	0,205625
76,0705	0,429744	0,205906
76,1705	0,408993	0,206186
76,2705	0,428025	0,206467
76,3705	0,42183	0,206739
76,4705	0,444139	0,207022
76,5705	0,416692	0,207303
76,6705	0,417394	0,207584
76,7705	0,415283	0,207866
76,8705	0,399193	0,208134
76,9705	0,406296	0,208403
77,0705	0,446264	0,208675
77,1705	0,444879	0,20898
77,2705	0,431384	0,209241
77,3705	0,439242	0,20953
77,4705	0,427078	0,209808
77,5705	0,439729	0,210077
77,6705	0,431652	0,210359
77,7705	0,427385	0,210636
77,8705	0,392718	0,21091
77,9705	0,440607	0,211186
78,0705	0,40588	0,211462
78,1705	0,42256	0,211751
78,2705	0,458636	0,212027
78,3705	0,422806	0,2123
78,4705	0,409459	0,212584
78,5705	0,448709	0,212857
78,6705	0,436486	0,213127
78,7705	0,424564	0,213414
78,8705	0,427197	0,213687
78,9705	0,43504	0,213967
79,0705	0,435167	0,214245
79,1705	0,474419	0,214519
79,2705	0,437285	0,214806
79,3705	0,43895	0,215087
79,4705	0,44719	0,215359
79,5705	0,441929	0,215638
79,6705	0,436062	0,215915
79,7705	0,449272	0,216204
79,8705	0,441585	0,216461
79,9705	0,450887	0,216748
80,0705	0,409227	0,217022
80,1705	0,445834	0,217295
80,2705	0,441255	0,217577
80,3705	0,467819	0,21786
80,4705	0,46518	0,218138
80,5705	0,433894	0,21842
80,6705	0,447503	0,218688
80,7705	0,417409	0,218962
80,8705	0,47535	0,21926
80,9705	0,446942	0,219525
81,0705	0,442696	0,219792
81,1705	0,426777	0,220085
81,2705	0,426268	0,220376
81,3705	0,442949	0,220637
81,4705	0,447694	0,220915
81,5705	0,413595	0,221189
81,6705	0,43733	0,221467
81,7705	0,431244	0,221737
81,8705	0,445369	0,222024
81,9705	0,451665	0,222319
82,0705	0,425377	0,222586
82,1705	0,433448	0,222848
82,2705	0,441369	0,223125
82,3705	0,441174	0,223406
82,4705	0,422969	0,223694
82,5705	0,438771	0,223976
82,6705	0,420415	0,224253
82,7705	0,423448	0,224516
82,8705	0,432071	0,224796
82,9705	0,419787	0,225088
83,0705	0,42387	0,225365
83,1705	0,446998	0,225632
83,2705	0,444374	0,225928
83,3705	0,429126	0,226185
83,4705	0,446076	0,226468
83,5705	0,411376	0,226759
83,6705	0,43875	0,227019
83,7705	0,425611	0,227286
83,8705	0,439968	0,227588
83,9705	0,427266	0,227863
84,0705	0,427002	0,228133
84,1705	0,439818	0,228419
84,2705	0,448864	0,228691
84,3705	0,41617	0,228977
84,4705	0,443564	0,229245
84,5705	0,435951	0,229521
84,6705	0,447805	0,229807
84,7705	0,434574	0,230072
84,8705	0,421194	0,230361
84,9705	0,423441	0,230634
85,0705	0,445688	0,230905
85,1705	0,430403	0,231185
