C:\EA\AEwin for PCI2\AEData\MASTER\charcoal-2023-02-21-01.DTA
PCI2 (r) Location Version 
Version E3.10

Four Channel DiSP Test
Tue Feb 21 11:50:24 2023

 ID     SSSSSSSS.mmmuuun      PARA1      PARA2  CH  DURATION AMP  ABS-ENERGY
  1      255.7454662     0.8005   308.3285   2         6  25 208.516E-03
  1      255.7454812     0.8005   308.3285   1        57  27 614.542E-03
  1      255.7558860     0.7990   308.4200   2         6  23  80.830E-03
  1      255.7698455     0.8005   308.5727   2         0  23 154.595E-03
  1      255.7698585     0.8005   308.5727   1        51  30 626.576E-03
  1      255.8702292     0.7996   309.0304   2         0  23 262.969E-03
  1      255.8702357     0.7996   309.0304   1       122  33   3.613E+00
  1      255.8775660     0.7996   308.6947   1        28  25 340.003E-03
  1      255.8998657     0.8002   308.8168   1        10  25 210.454E-03
  1      255.9454935     0.8002   309.0609   2        92  33   1.849E+00
  1      255.9455000     0.8002   309.0609   1        85  36   6.375E+00
  1      256.0247800     0.7996   309.5187   2        91  29 769.101E-03
  1      256.0247943     0.7996   309.5187   1        80  33   2.186E+00
  1      256.3770123     0.8014   310.6174   2        88  31   1.112E+00
  1      256.3770230     0.8014   310.6174   1       127  35   4.075E+00
  1      256.9211807     0.8045   312.2349   2        88  23 120.604E-03
  1      256.9212017     0.8045   312.2349   1        57  27 666.158E-03
  1      257.1290130     0.8039   313.1809   2        45  28 696.380E-03
  1      257.1290363     0.8039   313.1809   1         0  23 216.238E-03
  1      257.1350175     0.8045   313.1809   2        20  26 304.359E-03
  1      257.1646528     0.8029   313.2115   2        90  29 788.337E-03
  1      257.1646635     0.8029   313.2115   1        47  30 969.803E-03
  1      257.3792115     0.8039   313.6998   1        12  27 400.873E-03
  1      257.3792237     0.8039   313.6998   2        90  23 132.541E-03
  1      258.1517010     0.8051   316.1107   1         0  23  67.018E-03
  1      258.5270872     0.8078   316.8737   2        83  30   1.106E+00
  1      258.5271010     0.8078   316.8737   1        89  32   2.447E+00
  1      258.7484630     0.8094   317.7587   2        91  30 919.679E-03
  1      258.7484697     0.8094   317.7587   1        80  35   4.525E+00
  1      258.7830315     0.8078   317.8198   1        80  23  84.962E-03
  1      258.9159987     0.8078   318.0944   2        38  28 629.360E-03
  1      258.9160187     0.8078   318.0639   1        39  28 784.058E-03
  1      258.9350485     0.8078   318.0944   2        38  23 111.758E-03
  1      259.4640590     0.8087   319.2236   2        11  24 252.506E-03
  1      259.6628715     0.8103   319.8035   2        11  23  86.861E-03
  1      260.0234962     0.8127   320.6885   1         6  24 185.130E-03
  1      260.0234985     0.8127   320.6885   2        11  23  98.224E-03
  1      260.1011633     0.8103   320.7801   2        42  27 511.677E-03
  1      260.1011787     0.8103   320.7801   1        77  25 567.235E-03
  1      260.1340037     0.8115   320.7801   2        67  29 595.612E-03
  1      260.1340450     0.8103   320.7495   1        70  26 404.836E-03
  1      260.3719185     0.8103   321.2683   2         0  23 209.951E-03
  1      260.3719225     0.8103   321.2683   1        46  30 992.157E-03
  1      261.0736350     0.8139   323.2215   1        70  30   1.564E+00
  1      261.4072325     0.8151   324.1371   2        11  24 193.981E-03
  1      261.4423555     0.8151   324.3202   2        11  23  88.014E-03
  1      261.9388785     0.8167   325.6630   2        11  23 130.508E-03
  1      262.6143870     0.8200   328.0740   2        12  28 316.493E-03
  1      262.6144195     0.8200   327.8604   1        73  28 726.981E-03
  1      266.5670138     0.8283   342.7534   2        18  25 218.588E-03
  1      267.6212882     0.8338   346.6598   2        11  24 155.118E-03
  1      268.4920380     0.8347   349.8032   1         0  23 160.512E-03
  1      270.3535630     0.8411   355.9374   2        22  31 526.839E-03
  1      270.7973110     0.8429   357.5549   1        60  31   1.656E+00
  1      270.7989957     0.8417   357.4938   2        74  28 579.639E-03
  1      270.7990020     0.8417   357.4938   1        79  33   3.240E+00
  1      270.8068088     0.8417   357.5549   2        74  23 125.613E-03
  1      270.8068098     0.8417   357.5549   1        30  26 414.028E-03
  1      270.8713792     0.8417   357.6464   1        43  26 452.068E-03
  1      271.0120565     0.8441   358.1042   2         1  23 132.528E-03
  1      271.0120615     0.8441   358.1042   1         2  24 212.452E-03
  1      271.0713445     0.8435   358.1347   2         6  24 144.242E-03
  1      271.0713667     0.8435   358.1347   1        24  24 368.726E-03
  1      271.2394248     0.8444   358.3788   1        61  28 827.509E-03
  1      271.3885920     0.8417   358.6230   1        52  27 771.281E-03
  1      271.4159208     0.8420   358.7146   2        12  24 202.873E-03
  1      271.4159450     0.8420   358.7146   1        32  25 369.374E-03
  1      271.4739945     0.8435   358.8366   1        51  29   1.093E+00
  1      271.6156977     0.8441   359.1113   2        51  34   1.644E+00
  1      271.6157133     0.8441   359.1113   1        79  31   1.880E+00
  1      271.7986022     0.8444   359.2639   1        12  26 260.753E-03
  1      271.8727637     0.8435   359.3249   2        65  29 664.057E-03
  1      271.8728140     0.8444   359.2334   1       123  26 714.036E-03
  1      271.9995280     0.8466   359.4775   2        24  23 251.958E-03
